ID,ExpertLevel,Complexity,30sInterval,duration_start,Node,AOI_duration,clicked,pupil_diameter,controller_duration_on_aoi,distance_to_aoi,seating_row_aoi,seating_loc_aoi,controller_direction(pointing)_angle,duration_time_until_first fixation
033,0,1,500,510.0329,6A,0.0670000000000072,0,0.11315310955804514,0.0,3.9260126902851264,2.0,1.0,,
033,0,1,500,510.0999,9B,0.2656000000000063,0,0.0712169845580452,0.0,5.846375838525814,3.0,1.0,,
033,0,1,500,510.3655,6A,0.6333999999999946,0,0.13376062271593997,0.0,3.9013837578897457,2.0,1.0,,
033,0,1,500,511.132,6B,0.4331999999999993,0,0.16105716725035296,0.0,4.147568383586502,2.0,1.0,,
033,0,1,500,511.5652,6A,1.0988999999999578,0,0.27167614743683305,0.0,3.8236006114627092,2.0,1.0,,
033,0,1,500,512.6978,8B,0.2670999999999139,0,0.2287381928913785,0.0,5.964927655463158,3.0,0.0,,
033,0,1,500,514.296,PB,0.3822999999999865,0,0.0844831452723309,0.0,3.1167662063032067,0.0,0.0,,
033,0,1,500,515.1027,7A,0.1947999999999865,0,-0.08439964044195479,0.0,7.265853279218377,3.0,-1.0,,
033,0,1,500,515.3576,5B,0.2059999999999036,0,0.043469073843759344,0.0,3.9968398148436117,2.0,0.0,,
033,0,1,500,515.6308,8B,0.0662999999999556,0,0.04827260955804524,0.0,5.792148905643057,3.0,0.0,,
033,0,1,500,515.6971,5B,0.0674999999999954,0,0.08166260955804505,0.0,4.077623290217149,2.0,0.0,,
033,0,1,500,515.7646,8B,0.9650000000000318,1,0.45290839261589644,1.102099999999949,5.8151905302896045,3.0,0.0,,
033,0,1,500,520.1611,5B,0.2668999999999641,0,0.6224424845580452,0.0,3.9454172832993457,2.0,0.0,,
033,0,1,500,520.5946,8B,0.0996000000000094,0,0.48694235955804527,0.0,5.624611714064129,3.0,0.0,,
033,0,1,500,521.6929,PB,1.3356999999999744,0,0.09476048700902556,0.0,3.3666668404644136,0.0,0.0,,
033,0,1,500,523.4274,5A,0.0812999999999419,0,0.1671995262247119,0.0,4.280631517677462,2.0,0.0,,
033,0,1,500,523.5355,5B,0.3134000000000014,0,0.2710063595580452,0.0,3.9279846668256297,2.0,0.0,,
033,0,1,500,524.0489,8B,0.0667999999999438,0,0.3528493595580453,0.0,5.764318857440849,3.0,0.0,,
033,0,1,500,524.3484,5B,0.3999000000000023,0,0.41485656789137854,0.0,3.899487180180863,2.0,0.0,,
033,0,1,500,524.7818,2B,0.2667000000000143,0,0.37787460955804514,0.0,2.3696414765103686,1.0,0.0,,
033,0,1,500,525.0485,5A,0.1661000000000285,0,0.2741560595580451,0.0,4.27119378311865,2.0,0.0,,
033,0,1,500,525.2146,2B,0.1000000000000227,0,0.2724240262247119,0.0,2.4719247698018534,1.0,0.0,,
033,0,1,500,525.3146,5A,0.0664999999999054,0,0.3422236095580452,0.0,4.302329073951014,2.0,0.0,,
033,0,1,500,525.6484,5B,0.0996000000000094,0,0.40846635955804517,0.0,4.0295439859901405,2.0,0.0,,
033,0,1,500,525.9808,9A,0.0673999999999068,0,0.32743210955804525,0.0,5.444600973932916,3.0,1.0,,
033,0,1,500,526.1141,6A,0.1333999999999378,0,0.4273579845580452,0.0,3.8017345461271512,2.0,1.0,,
033,0,1,500,526.2475,9A,0.1000000000000227,0,0.40671152622471185,0.0,5.42167658721423,3.0,1.0,,
033,0,1,500,526.3475,6A,0.7327999999999975,0,0.4289581322853179,0.0,3.6838405651814736,2.0,1.0,,
033,0,1,500,527.2803,9B,0.0998999999999341,0,0.49501152622471184,0.0,5.5921222853468215,3.0,1.0,,
033,0,1,500,527.7469,8B,0.3007000000000062,0,0.44319958178026736,0.0,6.606407500630462,3.0,0.0,,
033,0,1,500,528.9124,PB,3.028599999999983,0,0.0876626034604842,0.0,3.0992045132019985,0.0,0.0,,
